PRN;Time_UTC;Azimuth;Elevation;MP_C2X;MP_C6X;MP_C7X;SNR_S2X;SNR_S6X;SNR_S7X
C05;2022-01-01 00:00:00;128.82;8.94;-1.0903;-0.8204;-1.8875;36.3;35.2;35.9
C05;2022-01-01 00:00:30;128.82;8.93;-1.7001;-0.8998;-1.1603;36.4;35.5;36.5
C05;2022-01-01 00:01:00;128.82;8.93;-1.0559;-0.8886;-1.5243;36.3;35.6;35.2
C05;2022-01-01 00:01:30;128.83;8.92;-1.5868;-0.8726;-1.6614;35.9;35.4;35.9
C05;2022-01-01 00:02:00;128.83;8.92;-0.9201;-0.9606;-1.8595;36.2;35.0;35.0
C05;2022-01-01 00:02:30;128.83;8.91;-0.9100;-0.8453;-1.8957;36.4;36.2;35.4
C05;2022-01-01 00:03:00;128.83;8.91;-1.0639;-0.9327;-1.5016;36.0;34.8;35.4
C05;2022-01-01 00:03:30;128.84;8.90;-1.0706;-0.8763;-1.8041;36.7;35.8;36.0
C05;2022-01-01 00:04:00;128.84;8.90;-1.2106;-0.9544;-1.7415;36.2;35.1;35.3
C05;2022-01-01 00:04:30;128.84;8.89;-1.2795;-0.8947;-2.1118;35.9;34.9;36.2
C05;2022-01-01 00:05:00;128.84;8.89;-0.7842;-1.0042;-1.2810;36.8;35.6;35.8
C05;2022-01-01 00:05:30;128.85;8.88;-1.0760;-1.0422;-1.7567;36.9;35.6;35.9
C05;2022-01-01 00:06:00;128.85;8.88;-1.3101;-0.9168;-1.3269;36.4;34.7;35.2
C05;2022-01-01 00:06:30;128.85;8.87;-0.9640;-1.1742;-1.6715;36.1;35.5;35.7
C05;2022-01-01 00:07:00;128.85;8.87;-0.8300;-0.8492;-1.6895;36.7;34.8;35.6
C05;2022-01-01 00:07:30;128.86;8.86;-1.2980;-0.9815;-1.8540;36.3;35.3;35.2
C05;2022-01-01 00:08:00;128.86;8.86;-1.2288;-0.9596;-1.5203;36.7;34.9;35.8
C05;2022-01-01 00:08:30;128.86;8.85;-1.3723;-0.9084;-1.5488;36.1;35.6;35.9
