PRN;Time_UTC;Azimuth;Elevation;MP_C1C;MP_C1P;MP_C2C;MP_C2P;SNR_S1C;SNR_S1P;SNR_S2C;SNR_S2P
R01;2022-01-01 00:00:00;152.91;26.21;-0.0905;0.0078;0.7471;0.0766;41.4;39.8;38.9;37.7
R01;2022-01-01 00:00:30;152.84;26.47;-0.1507;-0.1529;-0.5838;0.0884;41.1;40.1;38.9;38.3
R01;2022-01-01 00:01:00;152.78;26.74;-0.5396;-0.0979;-0.1866;0.1621;41.9;40.4;39.5;38.2
R01;2022-01-01 00:01:30;152.71;27.00;0.1735;0.1604;0.0051;0.2431;41.8;40.2;39.3;38.8
R01;2022-01-01 00:02:00;152.64;27.27;-1.1647;-0.4904;0.0432;0.1920;41.2;40.3;39.9;38.6
R01;2022-01-01 00:02:30;152.57;27.53;-1.3421;-0.1859;0.2090;0.3786;41.6;40.3;40.5;39.1
R01;2022-01-01 00:03:00;152.50;27.80;0.0676;-0.0125;0.1044;0.4569;42.7;41.3;40.8;40.0
R01;2022-01-01 00:03:30;152.43;28.06;-0.1431;-0.3201;-0.2813;-0.0081;42.8;42.0;39.8;39.4
R01;2022-01-01 00:04:00;152.36;28.32;0.6971;0.2882;-0.0540;-0.0001;43.5;42.0;40.3;39.7
R01;2022-01-01 00:04:30;152.29;28.59;0.5552;0.2665;0.0365;0.0117;43.7;42.4;40.2;39.6
R01;2022-01-01 00:05:00;152.22;28.85;-0.0639;0.4779;-0.0633;-0.1188;43.3;42.3;40.2;39.7
R01;2022-01-01 00:05:30;152.14;29.12;0.4685;0.4930;-1.2986;-0.2198;44.3;43.0;39.5;38.7
R01;2022-01-01 00:06:00;152.07;29.38;-0.3877;-0.4856;-0.5925;0.0299;41.7;42.1;39.4;38.9
R01;2022-01-01 00:06:30;151.99;29.65;0.3471;-0.0985;0.3799;0.1114;43.5;42.1;40.0;39.3
R01;2022-01-01 00:07:00;151.92;29.91;-0.2932;-0.3149;0.0503;0.1580;43.2;41.8;39.8;39.0
R01;2022-01-01 00:07:30;151.84;30.18;-0.5436;-0.3639;0.0797;0.0723;42.6;41.7;39.8;39.4
R01;2022-01-01 00:08:00;151.76;30.45;-0.1197;-0.1404;-0.2112;0.2759;43.2;42.4;40.2;38.9
R01;2022-01-01 00:08:30;151.68;30.71;-0.7197;0.2220;0.5439;0.1296;43.9;42.3;40.5;39.1
R01;2022-01-01 00:09:00;151.60;30.98;-0.1292;0.5443;0.3421;-0.0460;43.7;42.1;39.8;38.8
R01;2022-01-01 00:09:30;151.52;31.24;-0.5202;-0.4473;0.9441;-0.3152;43.3;41.8;39.3;39.0
R01;2022-01-01 00:10:00;151.44;31.51;-0.7877;-0.3299;0.2243;-0.3911;44.3;42.6;39.2;38.9
R01;2022-01-01 00:10:30;151.36;31.77;-0.0988;0.0594;0.3103;0.0352;43.1;41.9;38.6;37.6
R01;2022-01-01 00:11:00;151.28;32.04;-0.3935;-0.6201;0.2048;0.1479;43.8;42.7;39.7;38.9
R01;2022-01-01 00:11:30;151.19;32.31;0.6906;-0.1700;0.8131;0.0598;44.8;42.9;39.4;39.3
R01;2022-01-01 00:12:00;151.10;32.57;-0.0127;0.0606;0.7870;0.2207;44.2;43.0;39.1;38.9
R01;2022-01-01 00:12:30;151.02;32.84;-0.1392;0.1126;-0.2327;-0.1385;44.1;42.7;38.9;38.5
R01;2022-01-01 00:13:00;150.93;33.10;-0.0467;-0.0253;0.6775;-0.3128;43.7;42.5;38.8;37.9
R01;2022-01-01 00:13:30;150.84;33.37;-0.4354;-0.3983;-0.5322;0.1073;43.2;42.0;38.1;38.0
R01;2022-01-01 00:14:00;150.75;33.64;-0.3094;-0.4145;-0.8531;-0.0986;43.0;42.4;39.7;39.1
R01;2022-01-01 00:14:30;150.66;33.90;-0.7821;0.1107;-1.2970;-0.0133;43.3;42.0;39.5;38.4
R01;2022-01-01 00:15:00;150.57;34.17;-0.6272;0.0237;-0.5522;-0.0265;44.0;42.1;39.7;38.7
R01;2022-01-01 00:15:30;150.47;34.44;-0.4068;-0.1493;-0.0611;-0.1030;43.1;41.9;40.1;39.1
R01;2022-01-01 00:16:00;150.38;34.70;-0.6163;-0.1002;-0.4948;-0.1057;43.2;42.5;40.0;39.1
R01;2022-01-01 00:16:30;150.28;34.97;-0.8252;-0.0863;0.2076;-0.2811;43.3;42.3;40.1;38.4
R01;2022-01-01 00:17:00;150.18;35.23;-0.4683;-0.1733;0.3861;-0.0504;44.5;42.7;39.6;39.3
R01;2022-01-01 00:17:30;150.08;35.50;0.1493;-0.0163;-0.7211;0.2432;44.2;42.7;39.6;38.9
R01;2022-01-01 00:18:00;149.98;35.77;-0.1320;-0.0636;0.6258;0.1468;45.3;43.8;40.2;39.8
R01;2022-01-01 00:18:30;149.88;36.03;0.1557;-0.3242;0.4644;0.4208;45.2;43.4;40.5;39.7
R01;2022-01-01 00:19:00;149.78;36.30;0.4422;-0.0886;0.6195;0.2877;45.8;44.5;40.1;39.6
R01;2022-01-01 00:19:30;149.68;36.57;0.3422;0.1038;-0.5769;0.2608;45.8;44.2;41.0;39.4
R01;2022-01-01 00:20:00;149.57;36.83;0.0838;0.0535;0.3378;0.2803;45.5;44.9;40.5;39.8
R01;2022-01-01 00:20:30;149.46;37.10;-0.1251;-0.0338;0.2677;0.4384;45.8;44.5;40.5;39.0
R01;2022-01-01 00:21:00;149.35;37.36;0.1160;0.0416;0.1387;0.1556;45.8;44.5;40.8;38.9
R01;2022-01-01 00:21:30;149.24;37.63;0.2678;0.0606;-0.1002;0.1179;46.0;44.3;39.9;39.1
R01;2022-01-01 00:22:00;149.13;37.90;-0.5275;-0.1794;0.0814;-0.0031;46.5;44.2;39.6;39.7
R01;2022-01-01 00:22:30;149.02;38.16;-0.1289;-0.2003;0.1224;0.0781;45.4;44.0;40.3;39.5
R01;2022-01-01 00:23:00;148.90;38.43;-0.0411;-0.0480;-0.1859;0.3118;45.5;43.7;40.4;38.6
R01;2022-01-01 00:23:30;148.79;38.69;-0.2165;-0.2221;-0.8328;0.3534;44.9;43.9;40.4;40.4
R01;2022-01-01 00:24:00;148.67;38.96;0.5348;-0.2398;0.1256;0.0317;44.8;43.2;40.6;39.9
R01;2022-01-01 00:24:30;148.55;39.22;-0.8042;-0.2858;0.7884;0.1171;44.2;43.4;40.9;39.5
R01;2022-01-01 00:25:00;148.43;39.49;0.5824;-0.4028;-0.4710;-0.0521;45.0;43.1;40.3;39.8
R01;2022-01-01 00:25:30;148.31;39.75;0.1139;-0.0633;-0.6240;0.1831;45.1;43.2;41.1;40.2
