PRN;Time_UTC;Azimuth;Elevation;MP_C1X;MP_C5X;MP_C7X;MP_C8X;SNR_S1X;SNR_S5X;SNR_S7X;SNR_S8X
E01;2022-01-01 00:00:00;221.44;24.98;-0.1766;-0.0649;0.2745;0.1757;44.7;47.9;48.0;51.4
E01;2022-01-01 00:00:30;221.37;24.80;0.0878;0.0132;0.3543;0.1984;45.3;47.6;47.4;51.2
E01;2022-01-01 00:01:00;221.29;24.62;-0.3368;0.0963;0.4407;0.1240;45.4;47.4;47.4;51.4
E01;2022-01-01 00:01:30;221.22;24.44;-0.1869;0.1820;0.2598;0.0623;45.3;47.6;47.0;50.9
E01;2022-01-01 00:02:00;221.15;24.26;0.2690;0.3370;-0.3209;0.1429;46.0;47.7;46.8;50.6
E01;2022-01-01 00:02:30;221.08;24.08;-0.0142;0.3113;-0.3167;0.2854;46.8;47.9;47.6;51.2
E01;2022-01-01 00:03:00;221.01;23.90;0.2389;0.3861;0.0593;0.3161;46.4;48.4;47.6;51.4
E01;2022-01-01 00:03:30;220.94;23.72;-0.0368;0.2433;-0.1140;0.3054;45.8;48.0;47.9;51.6
E01;2022-01-01 00:04:00;220.87;23.53;-0.1352;0.2772;-0.0966;0.3327;45.7;47.5;47.4;51.1
E01;2022-01-01 00:04:30;220.80;23.35;0.0955;0.1131;-0.1465;0.2821;47.2;47.5;47.2;50.8
E01;2022-01-01 00:05:00;220.73;23.17;0.0640;-0.0577;-0.2605;0.3024;47.1;47.6;45.8;50.6
E01;2022-01-01 00:05:30;220.67;22.99;0.0422;0.0451;-0.1178;0.4097;46.7;47.2;46.2;50.3
E01;2022-01-01 00:06:00;220.60;22.81;-0.0062;-0.2017;0.2567;0.4860;46.0;46.4;46.9;50.3
E01;2022-01-01 00:06:30;220.53;22.63;0.1785;-0.2330;0.2438;0.4054;46.4;46.3;47.3;50.2
E01;2022-01-01 00:07:00;220.46;22.44;-0.2047;-0.3161;0.2201;0.3285;46.2;46.2;46.3;49.7
E01;2022-01-01 00:07:30;220.40;22.26;-0.0024;-0.3584;0.4276;0.3352;46.5;45.5;46.8;49.8
E01;2022-01-01 00:08:00;220.33;22.08;0.3051;-0.9252;0.6550;0.1717;45.9;44.8;46.4;49.1
E01;2022-01-01 00:08:30;220.26;21.90;-0.8103;-0.6638;0.4435;-0.0470;44.7;44.9;46.1;49.3
E01;2022-01-01 00:09:00;220.20;21.72;-0.0135;-0.2963;0.1864;-0.0241;44.9;45.0;45.1;49.0
E01;2022-01-01 00:09:30;220.13;21.54;-0.4525;-0.5569;0.3382;0.0502;45.6;44.6;45.4;48.9
E01;2022-01-01 00:10:00;220.07;21.36;-0.4447;-0.8159;0.5692;-0.0890;44.9;44.7;45.5;48.5
E01;2022-01-01 00:10:30;220.01;21.17;0.4136;-0.3235;0.6630;-0.2278;46.6;44.9;45.5;48.9
E01;2022-01-01 00:11:00;219.94;20.99;-0.1186;-0.0931;0.5104;-0.2002;46.0;45.0;44.1;48.2
E01;2022-01-01 00:11:30;219.88;20.81;-0.5115;-0.4729;0.3941;-0.1124;45.6;44.1;44.4;48.3
E01;2022-01-01 00:12:00;219.81;20.63;-0.2087;-0.4479;0.1952;-0.2406;46.4;43.9;44.6;47.9
E01;2022-01-01 00:12:30;219.75;20.45;-0.1292;0.1246;0.4921;-0.2992;45.9;44.2;44.7;48.0
E01;2022-01-01 00:13:00;219.69;20.27;0.0517;0.3015;-0.0193;-0.2186;47.2;44.6;44.1;48.5
E01;2022-01-01 00:13:30;219.63;20.09;0.2891;0.2800;-0.0837;-0.1034;47.0;44.0;44.4;47.7
E01;2022-01-01 00:14:00;219.56;19.90;-0.1421;0.1608;0.1584;-0.1477;46.0;43.5;44.2;47.4
E01;2022-01-01 00:14:30;219.50;19.72;-0.2019;0.2792;-0.1080;-0.2452;45.4;43.5;44.0;47.2
E01;2022-01-01 00:15:00;219.44;19.54;-0.2020;-0.1657;-0.4169;-0.1726;46.0;43.2;43.1;46.7
E01;2022-01-01 00:15:30;219.38;19.36;-0.0772;-0.2084;-0.2045;-0.1003;44.7;42.2;43.7;46.3
E01;2022-01-01 00:16:00;219.32;19.18;-0.0657;0.0111;0.0365;-0.1913;45.2;42.8;43.6;46.8
E01;2022-01-01 00:16:30;219.26;19.00;-0.0505;0.0176;-0.1774;-0.2562;45.5;43.3;43.0;46.4
E01;2022-01-01 00:17:00;219.20;18.82;-0.0541;0.0521;-0.2808;-0.1546;44.4;42.4;42.9;46.0
E01;2022-01-01 00:17:30;219.14;18.64;-0.4651;-0.0314;-0.1461;-0.1079;44.7;42.8;42.6;46.2
E01;2022-01-01 00:18:00;219.08;18.45;0.2857;-0.0884;-0.2648;-0.1382;45.6;42.6;43.3;46.6
E01;2022-01-01 00:18:30;219.02;18.27;0.0913;-0.3356;-0.0268;-0.1809;44.8;43.1;43.4;46.9
E01;2022-01-01 00:19:00;218.96;18.09;0.4557;-0.1659;-0.2269;-0.1627;46.2;43.3;43.6;47.2
E01;2022-01-01 00:19:30;218.90;17.91;0.3377;0.0407;-0.1239;-0.0496;46.0;43.3;43.6;47.3
E01;2022-01-01 00:20:00;218.84;17.73;0.0359;-0.3863;0.0320;0.0066;45.3;43.9;43.6;47.6
E01;2022-01-01 00:20:30;218.78;17.55;0.0221;-0.2452;0.0035;0.0182;45.5;43.2;43.5;46.8
E01;2022-01-01 00:21:00;218.73;17.37;-0.1542;-0.0575;-0.0584;0.0220;45.3;43.5;43.6;47.0
E01;2022-01-01 00:21:30;218.67;17.19;0.0222;-0.3025;-0.0906;0.0443;44.9;43.1;43.6;47.3
E01;2022-01-01 00:22:00;218.61;17.01;0.2662;-0.3965;-0.3951;0.0510;44.9;42.8;43.1;46.3
